SONAVORM,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
valeuudiste,5580.728471391817,9188.361408882083,0.6466239946969298
roonemaa,3596.622664081671,7656.967840735069,1.1292108057964387
allikapesu,3063.7871362940277,3062.7871362940277,0.0
silverman,2698.271306093601,3062.7871362940277,0.1354629645191604
klaassen,1814.0122216919249,3062.7871362940277,0.6889561711091674
smarted-i,1532.3935681470139,1531.3935681470139,0.0
desinformatsioonivõttega,1532.3935681470139,1531.3935681470139,0.0
välissõjaväeluure,1532.3935681470139,1531.3935681470139,0.0
tekstidautoristsandra,1532.3935681470139,1531.3935681470139,0.0
reklaamlugude,1530.773543754479,1531.3935681470139,0.0010583044103059406
vabaühingut,1527.543749286598,1531.3935681470139,0.003174913230917822
sensatsioonilisusele,1525.9339575983659,1531.3935681470139,0.0042332176412237625
kodanikuorganisatsiooni,1514.7597223056455,1531.3935681470139,0.011641348513365348
misinformation,1511.5970800140165,1531.3935681470139,0.013757957333977229
tööpraktikaid,1495.9799187938743,1531.3935681470139,0.024341001437036634
kommunikatsioonispetsialistina,1488.2917285431208,1531.3935681470139,0.029632523488566338
uudismeedias,1488.2917285431208,1531.3935681470139,0.029632523488566338
kodanikuaktiivsusele,1482.1978398011734,1531.3935681470139,0.0338657411297901
refereerimist,1480.6821570633265,1531.3935681470139,0.03492404554009604
luureanalüütik,1477.6600721518193,1531.3935681470139,0.03704065436070792
kvaliteetmeedia,1476.153651055759,1531.3935681470139,0.038098958771013866
ajakirjanikeni,1471.6527604796859,1531.3935681470139,0.04127387200193169
peatoimetajaid,1462.7328213308958,1531.3935681470139,0.04762369846376733
meediatarbijad,1452.4619310410578,1531.3935681470139,0.055031829335908916
disinformation,1449.553830698777,1531.3935681470139,0.05714843815652079
lugemisosa,1449.553830698777,1531.3935681470139,0.05714843815652079
lisakaitsena,1440.8989832220589,1531.3935681470139,0.06349826461835643
keeleruum,1405.92257307787,1531.3935681470139,0.08995587487600495
meediapädevust,1395.085982845668,1531.3935681470139,0.09842231015845249
tennus,1391.0652056948536,1531.3935681470139,0.1015972233893703
klaasseni,1375.2112212836496,1531.3935681470139,0.11429687631304158
meediaväljaandes,1343.3158371821619,1531.3935681470139,0.14075448657069012
valeuudis,1335.8798766050522,1531.3935681470139,0.14710431303252575
maailmapildile,1315.251482749585,1531.3935681470139,0.16509548800772675
rooda,1306.941440070744,1531.3935681470139,0.17250361887986831
umbusu,1268.0276045159742,1531.3935681470139,0.20848596883027032
bakalaureusetöös,1253.7542918753584,1531.3935681470139,0.22224392616424754
valeuudised,1238.7380849575286,1531.3935681470139,0.2370601879085307
väärarusaamad,1228.2305781247396,1531.3935681470139,0.2476432320115901
valeuudiseid,1220.980760999321,1531.3935681470139,0.2550513628837317
vabariikides,1220.980760999321,1531.3935681470139,0.2550513628837317
desinformatsioon,1213.8160279408844,1531.3935681470139,0.2624594937558733
tekkepõhjuste,1207.7414184537026,1531.3935681470139,0.2688093202177089
rõhumist,1199.7358922286585,1531.3935681470139,0.27727575550015643
libauudis,1166.8639712079093,1531.3935681470139,0.31325810545055843
eksperdile,1157.535833255914,1531.3935681470139,0.3238411495536178
meediasisu,1152.9274698336887,1531.3935681470139,0.32913267160514753
provokatsioonide,1142.9171099329353,1531.3935681470139,0.3407740201185129
pressiteadete,1132.193110710956,1531.3935681470139,0.3534736730421842
operatsioonidega,1078.2353008152725,1531.3935681470139,0.4212051553017644
vastaspoolt,1053.140140391157,1531.3935681470139,0.45507089643155446
tõsiseltvõetavuse,1039.5308234564313,1531.3935681470139,0.4741203758170614
valeinfo,1017.248761388212,3062.7871362940277,2.0118366839915933
erukindral,1015.4728028276712,1531.3935681470139,0.5090444213571574
halvustama,985.0757901926218,1531.3935681470139,0.5556098154106188
päevalehte,976.4400638016673,1531.3935681470139,0.569367772744596
rahastatav,962.1656460296875,1531.3935681470139,0.5926504697713267
ebausaldusväärne,958.3447681385319,1531.3935681470139,0.5990002962331624
paljususe,917.0710168629752,1531.3935681470139,0.6709649961339663
inglis,916.4905582644652,1531.3935681470139,0.6720233005442723
päevalehest,887.8310466937527,1531.3935681470139,0.7259968254698753
rahvuskonservatiivide,860.9096032451006,1531.3935681470139,0.7799703503954782
päevakajaline,835.5727723012936,1531.3935681470139,0.8339438753210813
venekeelsest,833.168810439421,1531.3935681470139,0.8392353973726109
naeruvääristada,822.2864214881796,1531.3935681470139,0.8635763988096475
arenenum,813.0519573384005,1531.3935681470139,0.8847424870157664
avaldamisele,810.3219272934575,1531.3935681470139,0.891092313477602
soodustavaid,778.9361955773995,1531.3935681470139,0.9672902310196297
relvana,778.5173918969089,1531.3935681470139,0.9683485354299357
ründamiseks,763.7346965599398,1531.3935681470139,1.0064474942009496
termini,753.1388139948325,3062.7871362940277,3.068024485476922
ähvardavalt,735.7918729259559,1531.3935681470139,1.0826454117429773
intervjueeris,719.7002588824532,1531.3935681470139,1.1292108057964387
endistes,717.2048987529448,1531.3935681470139,1.1366189366685802
sõeluda,709.8215731358944,1531.3935681470139,1.158843329285005
professionaalses,708.7792036221582,1531.3935681470139,1.162018242515923
sputniku,694.1680558873817,1531.3935681470139,1.2075253321590782
traktorist,680.1471444965846,1531.3935681470139,1.2530324218022337
valeinfot,679.5087807229239,1531.3935681470139,1.2551490306228457
meedial,674.1306868679718,1531.3935681470139,1.2731402055980465
eksperdina,671.006685397442,1531.3935681470139,1.283723249701106
gru,659.3949706181047,1531.3935681470139,1.3239388172927318
välismaist,648.4685835709255,1531.3935681470139,1.3630960804740515
õpetata,646.1535624576186,1531.3935681470139,1.371562515756499
magistrant,624.9582120898677,1531.3935681470139,1.4519936509397506
halvustada,623.6124260179432,1531.3935681470139,1.4572851729912804
bakalaureuseõppe,608.1590201869805,1531.3935681470139,1.5197251331993307
elukutseline,597.123962339306,1531.3935681470139,1.566290527252792
sõel,588.3887860746058,1531.3935681470139,1.604389486023806
ühiskonnateaduste,559.2978438832843,1531.3935681470139,1.7398524505429664
usaldusväärseks,544.9833634826384,1531.3935681470139,1.8118171504437703
uudiseks,535.3123490811328,1531.3935681470139,1.8626157621384556
